model_index_id,me_name,release_id,bundle_id,bundle_version_id,crosswalk_version_id,modelable_entity_id,location_set_id,year_start,year_end,metric_id,data_transform,prediction_age_group_ids,prediction_sex_ids,prediction_units,description,gbd_covariates,stage_1_model_formula,density_cutoffs,st_version,st_lambda,st_omega,st_zeta,time_correlation_scale,gpr_scale,agg_level_4_to_3,agg_level_5_to_4,add_nsv,rake_logit,gpr_draws,path_to_data,path_to_custom_stage_1,transform_offset,notes
11,Percent deliveries in public hospital,16,10530,49033,47221,31604,22,1980,2024,3,logit,22,3,Percent deliveries in public hospital,Percent deliveries in pub_hosp+ngo_hosp w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_hosp/linear_oos/alpha_2024-11-15/pub_hosp_custom_prior_2024_11_15.csv,,
12,Percent deliveries in private (for-profit) hospital,16,10554,49034,47222,31605,22,1980,2024,3,logit,22,3,Percent deliveries in private hospital,Percent deliveries in priv_hosp w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/priv_hosp/linear_oos/alpha_2024-11-15/priv_hosp_custom_prior_2024_11_15.csv,,
13,Percent deliveries in public hospital,16,10530,49033,47221,31604,22,1980,2024,3,logit,22,3,Percent deliveries in public hospital,Take 2 - percent deliveries in pub_hosp+ngo_hosp w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_hosp/linear_oos/alpha_2024-11-19/pub_hosp_custom_prior_2024_11_19.csv,,
14,Percent deliveries in public hospital,16,10530,49143,47283,31604,22,1980,2024,3,logit,22,3,Percent deliveries in public hospital,Take 3 - percent deliveries in pub_hosp+ngo_hosp w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_hosp/linear_oos/alpha_2024-11-21/pub_hosp_custom_prior_2024_11_21.csv,,
15,Percent deliveries in private hospital,16,10554,49144,47284,31605,22,1980,2024,3,logit,22,3,Percent deliveries in private hospital,Take 2 - percent deliveries in priv_hosp w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/priv_hosp/linear_oos/alpha_2024-11-22/priv_hosp_custom_prior_2024_11_22.csv,,
16,Percent deliveries in public primary facilities,16,10556,49145,47285,31607,22,1980,2024,3,logit,22,3,Percent deliveries in public primary facility,Percent deliveries in pub_prim  + ngo_prim w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_prim/linear_oos/alpha_2024-11-22/pub_prim_custom_prior_2024_11_22.csv,,
17,Percent deliveries in private (for-profit) primary facilities,16,10557,49146,47286,31608,22,1980,2024,3,logit,22,3,Percent deliveries in private primary facility,Percent deliveries in priv_prim w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/priv_prim/linear_oos/alpha_2024-11-22/priv_prim_custom_prior_2024_11_22.csv,0.001,
18,Percent deliveries in public hospital,16,10530,49143,47392,31604,22,1980,2024,3,logit,22,3,Percent deliveries in public hospital,First round vetting- percent deliveries in pub_hosp+ngo_hosp w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_hosp/linear_oos/alpha_2024-11-21/pub_hosp_custom_prior_2024_11_21.csv,,
19,Percent deliveries in private hospital,16,10554,49144,47408,31605,22,1980,2024,3,logit,22,3,Percent deliveries in private hospital,First round vetting - percent deliveries in priv_hosp w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/priv_hosp/linear_oos/alpha_2024-11-22/priv_hosp_custom_prior_2024_11_22.csv,,
20,Percent deliveries in public primary facilities,16,10556,49145,47409,31607,22,1980,2024,3,logit,22,3,Percent deliveries in public primary facility,First round vetting - percent deliveries in pub_prim  + ngo_prim w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"1, 1, 1, 1, 1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_prim/linear_oos/alpha_2024-11-22/pub_prim_custom_prior_2024_11_22.csv,,
21,Percent deliveries in private (for-profit) primary facilities,16,10557,49146,47422,31608,22,1980,2024,3,logit,22,3,Percent deliveries in private primary facility,First round vetting - percent deliveries in priv_prim w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/priv_prim/linear_oos/alpha_2024-11-22/priv_prim_custom_prior_2024_11_22.csv,0.001,
22,Percent deliveries in public hospital,16,10530,49143,47425,31604,22,1980,2024,3,logit,22,3,Percent deliveries in public hospital,Take 2: first round vetting - percent deliveries in pub_hosp+ngo_hosp w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_hosp/linear_oos/alpha_2024-11-21/pub_hosp_custom_prior_2024_11_21.csv,,
23,Percent deliveries in private hospital,16,10554,49144,47426,31605,22,1980,2024,3,logit,22,3,Percent deliveries in private hospital,Take 2: first round vetting - percent deliveries in priv_hosp w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/priv_hosp/linear_oos/alpha_2024-11-22/priv_hosp_custom_prior_2024_11_22.csv,,
24,Percent deliveries in public primary facilities,16,10556,49145,47427,31607,22,1980,2024,3,logit,22,3,Percent deliveries in public primary facility,Take 2: first round vetting - percent deliveries in pub_prim  + ngo_prim w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_prim/linear_oos/alpha_2024-11-22/pub_prim_custom_prior_2024_11_22.csv,,
25,Percent deliveries in private (for-profit) primary facilities,16,10557,49146,47428,31608,22,1980,2024,3,logit,22,3,Percent deliveries in private primary facility,Take 2: first round vetting - percent deliveries in priv_prim w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/priv_prim/linear_oos/alpha_2024-11-22/priv_prim_custom_prior_2024_11_22.csv,0.001,
26,Percent deliveries in public hospital,16,10530,49143,47471,31604,22,1980,2024,3,logit,22,3,Percent deliveries in public hospital,Second/third round vetting - percent deliveries in pub_hosp+ngo_hosp w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_hosp/linear_oos/alpha_2024-11-21/pub_hosp_custom_prior_2024_11_21.csv,,
27,Percent deliveries in private hospital,16,10554,49144,47472,31605,22,1980,2024,3,logit,22,3,Percent deliveries in private hospital,Second/third round vetting - percent deliveries in priv_hosp w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/priv_hosp/linear_oos/alpha_2024-11-22/priv_hosp_custom_prior_2024_11_22.csv,,
28,Percent deliveries in public primary facilities,16,10556,49145,47473,31607,22,1980,2024,3,logit,22,3,Percent deliveries in public primary facility,Second/third round vetting - percent deliveries in pub_prim  + ngo_prim w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/pub_prim/linear_oos/alpha_2024-11-22/pub_prim_custom_prior_2024_11_22.csv,,
29,Percent deliveries in private (for-profit) primary facilities,16,10557,49146,47474,31608,22,1980,2024,3,logit,22,3,Percent deliveries in private primary facility,Second/third round vetting - percent deliveries in priv_prim w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/priv_prim/linear_oos/alpha_2024-11-22/priv_prim_custom_prior_2024_11_22.csv,0.001,
30,Percent deliveries in hospital of any sector,16,10634,49159,47485,32345,22,1980,2024,3,logit,22,3,Percent deliveries in hospital,First model percent deliveries in hosp_any - includes initial vetting already,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/hosp_any/linear_oos/alpha_2024-12-19/hosp_any_custom_prior_2024_12_19.csv,,
31,Percent deliveries in primary facility of any sector,16,10635,49160,47486,32346,22,1980,2024,3,logit,22,3,Percent deliveries in a primary facility,First model percent deliveries in prim_any - includes initial vetting already,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1",,"6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/prim_any/linear_oos/alpha_2024-12-19/prim_any_custom_prior_2024_12_19.csv,,
32,Percent deliveries in hospital of any sector,16,10634,49159,47625,32345,22,1980,2024,3,logit,22,3,Percent deliveries in hospital,First model percent deliveries in hosp_any - includes initial vetting already,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1","20,15,10,10,10","6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/02_models/hosp_any/02_linear_oos/alpha_2024-12-19/hosp_any_custom_prior_2024_12_19.csv,,
33,Percent deliveries in primary facility of any sector,16,10635,49160,47626,32346,22,1980,2024,3,logit,22,3,Percent deliveries in a primary facility,First model percent deliveries in prim_any - includes initial vetting already,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1","20,15,10,10,10","6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/02_models/prim_any/02_linear_oos/alpha_2024-12-19/prim_any_custom_prior_2024_12_19.csv,,
34,Percent deliveries in public hospital,16,10530,49143,47654,31604,22,1980,2024,3,logit,22,3,Percent deliveries in public hospital,Third round vetting: suggestions from AH - percent deliveries in pub_hosp+ngo_hosp w age collapsed data,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1","20,15,10,10,10","6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/02_models/pub_hosp/02_linear_oos/alpha_2024-11-21/pub_hosp_custom_prior_2024_11_21.csv,,
35,Percent deliveries in hospital of any sector,16,10634,49159,47659,32345,22,1980,2024,3,logit,22,3,Percent deliveries in hospital,Third model percent deliveries in hosp_any - includes third round vetting suggestions from AH,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1","20,15,10,10,10","6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/02_models/hosp_any/02_linear_oos/alpha_2024-12-19/hosp_any_custom_prior_2024_12_19.csv,,
36,Percent deliveries in primary facility of any sector,16,10635,49160,47660,32346,22,1980,2024,3,logit,22,3,Percent deliveries in a primary facility,Second model percent deliveries in prim_any - includes second round vetting,"ANC1_coverage_prop, ANC4_coverage_prop, SBA_coverage_prop, csection_coverage_prop, frac_oop_hexp, domestic_he_cap, haqi, universal_health_coverage, sdi, TFR, pct_births_in_over35s",,"1, 5, 10, 15",beta,"0.5, 0.5, 0.1, 0.1, 0.1","1, 1, 1, 1, 1",".01,.001,.001,.001, .001","1, 1, 1, 1, 1","20,15,10,10,10","6, 163, 102, 214","6, 163",,1,100,,/ihme/scratch/projects/hssa/pcp/delivery_location_remapping/st-gpr/02_models/prim_any/02_linear_oos/alpha_2024-12-19/prim_any_custom_prior_2024_12_19.csv,,
