"GHDx Record ID","GHDx Record Title","GHDx Record URL","Data provider","Data Provider URL","Series","Geography","Data type","Time period covered","Summary","Ongoing Coverage","Suggested citation"
11781,"South Africa - Agincourt Health and Socio-Demographic Surveillance System","/record/south-africa-agincourt-health-and-socio-demographic-surveillance-system","INDEPTH","http://www.indepth-ishare.org/index.php/catalog/26","Demographic Surveillance System (DSS)","South Africa, Mpumalanga","Demographic surveillance","NA to NA","The Agincourt Health and Demographic Surveillance System (HDSS) was established in 1992 and it covers 420 square kilometers in the Agincourt district. The district is located in the Mpumalanga province, a semi-arid rural region close to the border with Mozambique. The system records births, deaths, pregnancies, and migrations of household members. Agincourt HDSS is a member of the INDEPTH network and it utilizes INDEPTH standardized verbal autopsy tools.
In 2015, the INDEPTH Data Repository released an under 5 mortality dataset for Agincourt.
",NA,"MRC/Wits Rural Public Health and Health Transitions Research Unit (Agincourt), INDEPTH. South Africa - Agincourt Health and Socio-Demographic Surveillance System.
"
12103,"South Africa October Household Survey 1993","/record/south-africa-october-household-survey-1993","DataFirst","http://www.datafirst.uct.ac.za/dataportal/index.php/catalog/403","South Africa October Household Survey","South Africa","Survey","09/1993 to 11/1993","This study was the first October Household Survey (OHS), an annual sample survey conducted by the Central Statistical Service. A total of 136,468 individuals in 30,233 households were successfully interviewed.
The OHS covered employment, unemployment, and the informal labor market. In addition, the survey collected information on households, dwellings, births, deaths, and migration.
",NA,"Central Statistical Service (South Africa). South Africa October Household Survey 1993.
"
12105,"South Africa October Household Survey 1998","/record/south-africa-october-household-survey-1998","DataFirst","http://www.datafirst.uct.ac.za/dataportal/index.php/catalog/63","South Africa October Household Survey","South Africa","Survey","NA to NA","The October Household Survey (OHS) 1998 was conducted as part of the annual series that began in 1993. The sample included 100,000 individuals from all population groups living in 20,000 households.
The OHS covered employment, unemployment, and the informal labor market. In addition, the survey provided information on households, dwellings, births, deaths, migration, access to health and social services, safety and well-being of the household, and perceived quality of life.
",NA,"Statistics South Africa. South Africa October Household Survey 1998.
"
12106,"South Africa October Household Survey 1999","/record/south-africa-october-household-survey-1999","DataFirst","https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/64","South Africa October Household Survey","South Africa","Survey","NA to NA","The October Household Survey (OHS) 1999 was conducted as part of an annual series that began in 1993. The sample covered all population groups and included 140,000 individuals living in 30,000 households.
The OHS covered employment, unemployment, and the informal labor market. In addition, the survey provided information on households, dwellings, births, deaths, migration, access to health and social services, safety and well-being of the household, and perceived quality of life.
",NA,"Statistics South Africa. South Africa October Household Survey 1999. Cape Town, South Africa: DataFirst.
"
12379,"Syria Family Health Survey 2001","/record/syria-family-health-survey-2001","","","Pan Arab Project for Family Health (PAPFAM)","Syrian Arab Republic","Survey","11/2001 to 12/2001","The Syria Family Health Survey, part of the PAPFAM project, included four questionnaires:

Household characteristics
Reproductive health
Young adults ages 15-29
Health service providers assessment

The last two were optional modules for the PAPFAM project. Interviews were successfully completed for 9,500 households, 6,953 women and 8,389 people ages 15-24.
Topics included health status; knowledge of contraception and sexually-transmitted diseases; attitudes about marriage, gender, education and other topics; work-related injuries; reproductive health; and availability of health services.
",NA,"Central Bureau of Statistics (Syria), League of Arab States. Syria Family Health Survey 2001.
"
12489,"Tajikistan Living Standards Measurement Survey 2003","/record/tajikistan-living-standards-measurement-survey-2003","World Bank","http://econ.worldbank.org/WBSITE/EXTERNAL/EXTDEC/EXTRESEARCH/EXTLSMS/0,,contentMDK:21371478~pagePK:64168445~piPK:64168309~theSitePK:3358997,00.html","Living Standards Measurement Study (LSMS), Living Standards Measurement Study (LSMS) - World Bank","Tajikistan","Survey","01/2003 to 12/2003","",NA,"National State Statistical Agency (Tajikistan), World Bank. Tajikistan Living Standards Measurement Survey 2003.
"
12672,"Tanzania Living Standards Measurement Study 1993-1994","/record/tanzania-living-standards-measurement-study-1993-1994","World Bank","http://go.worldbank.org/W05XW82630","Living Standards Measurement Study (LSMS), Living Standards Measurement Study (LSMS) - World Bank","United Republic of Tanzania","Survey","09/1993 to 06/1994","",NA,"Planning Commission (Tanzania), University of Dar es Salaam, World Bank. Tanzania Living Standards Measurement Study 1993-1994. Washington DC, United States of America: World Bank.
"
12978,"Tunisia Family Health Survey 2001","/record/tunisia-family-health-survey-2001","","","Pan Arab Project for Family Health (PAPFAM)","Tunisia","Survey","06/2001 to 08/2001","The Tunisian Family Health Survey 2001 was conducted by the National Office of Family and Population in collaboration with the Pan Arab Project for Family Health (PAPFAM). The sample covered 6,083 households, 3,902 ever married women ages 15 to 49, and 5,429 never married adults ages 18 to 29.
The survey used five questionnaires covering the following topics: housing characteristics; health status; knowledge of contraception and sexually-transmitted diseases; reproductive health; use of health services; and available services and equipment at health facilties.
The report may be available through the library.
",NA,"League of Arab States, National Office for Family and Population, Ministry of Public Health (Tunisia), Pan Arab Project for Family Health (PAPFAM). Tunisia Family Health Survey 2001.
"
13218,"Ukraine Reproductive Health Survey 1999","/record/ukraine-reproductive-health-survey-1999","Centers for Disease Control and Prevention (CDC)","http://www.cdc.gov/reproductivehealth/global/tools/surveys.htm","Reproductive Health Survey (RHS)","Ukraine","Survey","06/1999 to 10/1999","The 1999 Ukraine RHS covers: fertility, abortion history, contraceptive use, child mortality, maternal and child health services, young adult sexual experience, STIs, and domestic violence. n=7,128 women 15-44.
",NA,"Division of Reproductive Health-Centers for Disease Control and Prevention (CDC) and Kiev International Institute of Sociology. (2001) Ukraine Reproductive Health Survey 1999. Atlanta, United States: Centers for Disease Control and Prevention (CDC).
"
13572,"Vietnam Living Standards Measurement Survey 1992-1993","/record/vietnam-living-standards-measurement-survey-1992-1993","","","Living Standards Measurement Study (LSMS), Living Standards Measurement Study (LSMS) - World Bank","Viet Nam","Survey","09/1992 to 10/1993","",NA,"World Bank (WB), General Statistics Office (Viet Nam). Viet Nam Living Standards Measurement Survey 1992-1993. Washington D.C., United States: World Bank (WB)
"
13795,"Yemen Family Health Survey 2003","/record/yemen-family-health-survey-2003","Ministry of Public Health and Population (Yemen)","http://www.mophp-ye.org/english/avianflu.html","Pan Arab Project for Family Health (PAPFAM)","Yemen","Survey","01/2003 to 03/2003","The Yemen Family Health Survey 2003 was conducted by the Ministry of Public Health and Population in collaboration with the Central Statistical Organization and the Pan Arab Project for Family Health (PAPFAM). The sample covered 13,815 households, including 11,292 ever married women ages 15 to 54.
The survey used three questionnaires covering the following topics: housing characteristics; health status; knowledge of contraception and sexually-transmitted diseases; reproductive health; use of health services; and maternal mortality.
",NA,"Central Statistical Organization (Yemen), League of Arab States, Ministry of Public Health and Population (Yemen), Pan Arab Project for Family Health (PAPFAM). Yemen Family Health Survey 2003.
"
18499,"Burkina Faso Core Welfare Indicators Questionnaire Survey 2007","/record/burkina-faso-core-welfare-indicators-questionnaire-survey-2007","National Institute of Statistics and Demography (Burkina Faso)","http://www.insd.bf/nada/?page=catalog","Core Welfare Indicators Questionnaire Survey (CWIQ)","Burkina Faso","Survey","02/2007 to 03/2007","The 2007 Burkina Faso Core Welfare Indicators Survey (CWIQ) was the third CWIQ survey to occur in the country. The CWIQ survey (known in French as QUIBB) is designed to gather information related to poverty.  Generally the surveys contain information related to housing conditions, water and sanitation, education, health care use and access, income and assets.
",NA,"National Institute of Statistics and Demography (INSD). Burkina Faso Core Welfare Indicators Questionnaire Survey 2007. Ouagadougou, Burkina Faso: National Institute of Statistics and Demography (INSD), 2008.
"
18519,"Côte d'Ivoire Demographic and Health Survey 1994","/record/c%C3%B4te-divoire-demographic-and-health-survey-1994","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-62.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Côte d'Ivoire","Survey","06/1994 to 11/1994","Part of phase 3 of the DHS series, a comprehensive, nationally representative household survey. Covers population, education, health, nutrition, family planning and household characteristics.
",NA,"Macro International, Inc, National Institute of Statistics (Côte d'Ivoire). Côte d'Ivoire Demographic and Health Survey 1994. Fairfax, United States of America: ICF International.
"
18531,"Côte d'Ivoire Demographic and Health Survey 1998-1999","/record/c%C3%B4te-divoire-demographic-and-health-survey-1998-1999","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-106.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Côte d'Ivoire","Survey","09/1998 to 03/1999","Part of phase 3 of the DHS series, a comprehensive, nationally representative household survey. Covers population, education, health, nutrition, family planning and household characteristics.
",NA,"Macro International, Inc, National Institute of Statistics (Côte d'Ivoire). Côte d'Ivoire Demographic and Health Survey 1998-1999. Fairfax, United States of America: ICF International.
"
18533,"Côte d'Ivoire Demographic and Health Survey 2011-2012","/record/c%C3%B4te-divoire-demographic-and-health-survey-2011-2012","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-311.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Côte d'Ivoire","Survey","12/2011 to 05/2012","The 2011-2012 Côte d'Ivoire Demographic and Health Survey (DHS) (EDSCI-III) included certain modules from the Multiple Indicator Cluster Survey (MICS). A national sample of 9,686 households were selected and were stratified for proper urban and rural representation. Overall, 352 clusters, 161 urban and 191 rural, were selected.
A total of 10,060 women aged 15-49 were enumerated. In a household sub-sample, 5,135 men aged 15-59 were interviewed. Within this sub-sample, in addition to the questionnaire, women were measured and tested for HIV and anemia and anthropometric measurements were taken, pregnant women were tested for malaria, men were tested for HIV and anemia, and children were tested for anemia and malaria and anthropometric measurements were taken.
",NA,"ICF International, Ministry of the Fight Against AIDS (Côte d'Ivoire), National Institute of Statistics (Côte d'Ivoire). Côte d'Ivoire Demographic and Health Survey 2011-2012. Fairfax, United States of America: ICF International.
"
18815,"Sri Lanka Demographic and Health Survey 2006-2007","/record/sri-lanka-demographic-and-health-survey-2006-2007","Department of Census and Statistics (Sri Lanka)","http://www.statistics.gov.lk/page.asp?page=Health","DHS Standard Demographic and Health Survey (DHS), Sri Lanka Demographic and Health Survey, DHS Program Surveys","Sri Lanka","Survey","01/2006 to 12/2007","The Sri Lanka Demographic and Health Survey 2006-2007 is part of phase four of the Demographic and Health Survey (DHS) series. Topics typically covered include fertility, family planning, infant and child mortality, reproductive health, nutrition, anthropometric measurements, and HIV/AIDS-related knowledge and attitudes. In addition to these topics, this survey collected information about malaria, drug and alcohol use, and some non-communicable diseases. 
A nationally representative sample of 19,872 households were surveyed. This included 14,692 ever-married women ages 15-49 and their children.
",NA,"Department of Census and Statistics (Sri Lanka), Macro International, Inc. Sri Lanka Demographic and Health Survey 2006-2007. 2009.
"
18843,"Armenia Demographic and Health Survey 2000","/record/armenia-demographic-and-health-survey-2000","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-203.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Armenia","Survey","10/2000 to 12/2000","Part of phase 4 of the Demographic and Health Survey series, the 2000 Armenia DHS was both nationally representative and representative for all administrative regions (marzes) and the capital city of Yerevan. Interviews were completed with 6,430 women ages 15-49, as well as 1,719 men ages 15-54 in every third household. The survey used three questionnaires:

A household questionnaire listed all usual members of and visitors to the household and collected information on housing conditions and materials, as well as basic demographic information.
A women’s questionnaire collected information on topics such as birth history, maternal care, contraception, immunization, and diarrhea and respiratory illness of children under five. Anthropometric measurements and hemoglobin tests were taken for women and children under five.
A men’s questionnaire covered topics such as health, sexual activity, use of condoms, and health literacy.

",NA,"Ministry of Health (Armenia), National Statistical Service (NSS), ORC Macro. Armenia Demographic and Health Survey 2000. Fairfax, United States of America: ICF International.
"
18854,"Armenia Demographic and Health Survey 2005","/record/armenia-demographic-and-health-survey-2005","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-262.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Armenia","Survey","09/2005 to 12/2005","Part of phase 5 of the DHS series, a comprehensive, nationally representative household survey. Covers population, education, health, nutrition, family planning and household characteristics.
",NA,"MOH Center for Health Information and Statistics, Macro International, Inc, National Statistical Service (NSS). Armenia Demographic and Health Survey 2005. Fairfax, United States of America: ICF International.
"
18865,"Azerbaijan Demographic and Health Survey 2006","/record/azerbaijan-demographic-and-health-survey-2006","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-279.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Azerbaijan","Survey","04/2006 to 08/2006","Part of phase 5 of the DHS series, the 2006 Azerbaijan Demographic and Health Survey is a household interview survey that is representative nationally, subnationally, and for urban and rural areas separately. The survey data covers topics such as family characteristics, sexual behavior, family planning, and birth history and also includs measurements for anthropomentry, pulse, and blood pressure. The final sample for the survey consisted of 7,619 households. The survey utilized three questionnaires:

A household questionnaire.
And individual women's questionnaire for women aged 15-49, including topics such as pregnancy history, contraception use, breastfeeding, domestic violence, and maternal care.
An indivudal men's questionnaire for men aged 15-49, including topics such as reproductive health, health literacy, and smoking and alcohol consumption.

 
",NA,"Macro International, Inc, State Statistical Committee of Azerbaijan. Azerbaijan Demographic and Health Survey 2006. Fairfax, United States of America: ICF International.
"
18878,"Bangladesh Demographic and Health Survey 1996-1997","/record/bangladesh-demographic-and-health-survey-1996-1997","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-89.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Bangladesh","Survey","11/1996 to 03/1997","Part of the third phase of the DHS series, the 1996-1997 Bangladesh Demographic Health Survey was a nationally representtive household interview survey. With a sampling frame based on the 1991 Population and Housing Census, the survey also provides estimates subnationally and for rural and urban areas separately. This DHS used four questionnaires:

A household questionnaire collected background information and determined eligibility.
A women’s questionnaire for ever-married women age 10-49 covered topics such as reproductive and birth histories, health literacy, maternal care, and children’s immunizations.
A men’s questionnaire for currently married men age 15-49 that covered many of the same topics as the women's questionnaire, with the omissions of maternal care and birth history.
A community questionnaire with questions about income-generating activities and the availability of health care services.

",NA,"Macro International, Inc, Mitra and Associates, National Institute of Population Research and Training (NIPORT). Bangladesh Demographic and Health Survey 1996-1997. Fairfax, United States of America: ICF International.
"
18889,"Bangladesh Demographic and Health Survey 1993-1994","/record/bangladesh-demographic-and-health-survey-1993-1994","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-59.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Bangladesh","Survey","11/1993 to 03/1994","Part of the third phase of the DHS series, the 1993 Bangladesh Demographic and Health Survey was a nationally representative household interview survey. With a sampling frame based on the 1991 Population and Housing Census, the survey also provides estimates subnationally and for rural and urban areas separately. This DHS used four questionnaires:

A household questionnaire collected background information and determined eligibility.
A women’s questionnaire for ever-married women age 10-49 covered topics such as reproductive and birth histories, health literacy, maternal care, and children’s immunizations.
A husband’s questionnaire for husbands of a subsample of interviewed women that used many of the same questions.
A “Service Availability Questionnaire” collected information on health services available in and near sampled areas from the community, family welfare visitors, and family planning workers.

",NA,"Macro International, Inc, Mitra and Associates, National Institute of Population Research and Training (NIPORT). Bangladesh Demographic and Health Survey 1993-1994. Fairfax, United States of America: ICF International.
"
18902,"Bangladesh Demographic and Health Survey 2004","/record/bangladesh-demographic-and-health-survey-2004","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-236.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Bangladesh","Survey","01/2004 to 05/2004","Part of phase four of the DHS, the 2004 Bangladesh Demographic and Health Survey was a nationally representative household interview survey with a focus child mortality, fertility, and maternal health. The survey data provides estimates both subnationally and for rural and urban areas separately. This DHS utilized five questionnaires:

A household questionnaire collected background information and determined eligibility.
A women’s questionnaire for ever-married women age 10-49 covered topics such as reproductive and birth histories, health literacy, maternal care, and immunizations.
A men’s questionnaire for men age 15-49, whether ever-married or not.
A community questionnaire included questions about income-generating activities of non-profits and the availability of health services.
A verbal autopsy questionnaire collected qualitative information about births, deceased children, accidental deaths, and other narrative histories.

",NA,"Mitra and Associates, ORC Macro. Bangladesh Demographic and Health Survey 2004. Fairfax, United States of America: ICF International.
"
18913,"Bangladesh Demographic and Health Survey 2007","/record/bangladesh-demographic-and-health-survey-2007","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-287.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Bangladesh","Survey","03/2007 to 08/2007","Part of phase five of the DHS, the 2004 Bangladesh Demographic and Health Survey was a nationally representative household interview survey with a focus child mortality, fertility, and maternal health. The data provides estimates subnationally and for rural and urban areas separately. This DHS utilized five questionnaires:

A household questionnaire collected background information and determined eligibility.
A women’s questionnaire for ever-married women age 10-49 covered topics such as reproductive and birth histories, health literacy, maternal care, and immunizations.
A men’s questionnaire for ever-married men age 15-54.
A community questionnaire included questions about the existence of development organization in the community.
A facility questionnaire verfied information gathered in the women’s and men’s questionnaires on the type of facilities respondents accessed and the health personnel they saw.

",NA,"Macro International, Inc, Mitra and Associates, National Institute of Population Research and Training (NIPORT). Bangladesh Demographic and Health Survey 2007. Fairfax, United States of America: ICF International, 2009.
"
18920,"Bangladesh Special Demographic and Health Survey 2001","/record/bangladesh-special-demographic-and-health-survey-2001","Demographic and Health Surveys Program (DHS)","http://www.measuredhs.com/data/available-datasets.cfm","DHS Special Demographic and Health Survey (Special DHS), DHS Program Surveys","Bangladesh","Survey","01/2001 to 06/2001","Part of the first phase of the DHS, the 2001 Bangladesh Demographic and Health Survey was a nationally representative household interview survey with a focus child mortality and maternal health. The survey data provides estimates subnationally and for rural and urban areas separately. This DHS utilized three questionnaires:

A household questionnaire collected basic demographic  information on household members, as well as information such as housing conditions, water supply, and electricity.
A women’s questionnaire for ever-married women ages 13-49 covered topics such as reproductive history, family planning methods, maternal care.
A verbal autopsy questionnaire was used to collect information on causes of death for all female adult deaths in the household in the three years preceding the survey. 

",NA,"Associates for Community and Population Research (ACPR), International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDR,B), Johns Hopkins University, Mitra and Associates, National Institute of Population Research and Training (NIPORT), ORC Macro. Bangladesh Special Demographic and Health Survey 2001. Fairfax, United States of America: ICF International.
"
18938,"Benin Demographic and Health Survey 1996","/record/benin-demographic-and-health-survey-1996","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-87.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Benin","Survey","06/1996 to 08/1996","Part of phase 3 of the DHS series, a comprehensive, nationally representative household survey. Covers population, education, health, nutrition, family planning and household characteristics.
",NA,"Macro International, Inc, National Institute of Statistics and Economic Analysis (INSAE) (Benin). Benin Demographic and Health Survey 1996. Fairfax, United States of America: ICF International.
"
18950,"Benin Demographic and Health Survey 2001","/record/benin-demographic-and-health-survey-2001","Demographic and Health Surveys Program (DHS)","http://www.dhsprogram.com/what-we-do/survey/survey-display-211.cfm","DHS Standard Demographic and Health Survey (DHS), DHS Program Surveys","Benin","Survey","08/2001 to 11/2001","Part of the fourth phase of the DHS, the 2001 Benin Demographic and Health Survey was a nationally representative health interview survey. The sample was based on the 1992 Population and Housing Census. The survey, which included a hemoglobin test for anemia, used four questionnaires:

A household questionnaire collected basic demographic information and covered topics such as education, housing conditions, and salt iodization.
An individual women’s questionnaire collected information from women ages 15-49 on topics such as reproductive history, contraceptive use, child health, marriage, sexual activity, immunization, and fertility preferences.
An individual men’s questionnaire collected information from men ages 15-64 on many of the same topics as the women’s questionnaire.
A community questionnaire gathered data on the availability of health and family planning services among health facilities. 

",NA,"National Institute of Statistics and Economic Analysis (INSAE) (Benin), ORC Macro. Benin Demographic and Health Survey 2001. Fairfax, United States of America: ICF International.
"
